EventID,What,Position_X,Position_Y,Position_Z,Timestamp
0,PressurePad,32,0.3995161,20,17/12/2020 13:27:14
1,PressurePad,32,0.3995161,20,17/12/2020 13:27:14
2,PressurePad,32,0.3995161,20,17/12/2020 13:27:17
5,PressurePad,32,0.3995161,20,17/12/2020 13:31:10
