EventID,Position_X,Position_Y,Position_Z,Timestamp
90,-5.404729,-0.02561826,-21.65383,21/12/2020 20:07:34
91,-8.325715,-0.02363485,-5.70427,21/12/2020 20:07:40
92,2.385639,-0.02067459,-29.95658,21/12/2020 20:07:45
93,7.638247,-0.01228559,-5.67953,21/12/2020 20:07:50
94,5.844729,-0.01136935,2.928544,21/12/2020 20:07:55
95,5.844729,-0.01136935,2.928544,21/12/2020 20:08:00
96,-0.4415928,-0.01271057,13.04828,21/12/2020 20:08:05
97,-1.975597,-0.02174908,-16.02464,21/12/2020 20:08:44
98,-12.35027,0.2079611,19.8945,21/12/2020 20:08:49
99,-24.4151,0.9826857,29.55347,21/12/2020 20:08:54
100,-19.65696,0.9826858,25.4291,21/12/2020 20:08:59
101,-18.81524,0.9826858,27.84208,21/12/2020 20:09:04
102,-9.450291,1.394686,14.91567,21/12/2020 20:09:09
103,12.34936,-0.009157419,1.209098,21/12/2020 20:09:14
104,31.32284,0.3016242,0.7608073,21/12/2020 20:09:19
105,30.80273,0.2872247,0.8756326,21/12/2020 20:09:24
106,27.92887,0.4189197,11.9606,21/12/2020 20:09:29
107,22.40281,0.05866873,22.28802,21/12/2020 20:09:34
108,20.44496,0.2619971,18.03451,21/12/2020 20:09:39
109,25.3364,0.3798488,24.05116,21/12/2020 20:09:44
110,30.41089,0.2406359,4.006062,21/12/2020 20:09:49
111,44.6041,0.2852602,-5.465604,21/12/2020 20:09:54
112,46.96836,0.2485429,-12.03064,21/12/2020 20:09:59
113,53.23088,2.296951,-28.60081,21/12/2020 20:10:04
114,59.01752,3.982685,-34.4185,21/12/2020 20:10:09
115,65.85254,3.982686,-30.34553,21/12/2020 20:10:14
116,65.05097,3.982686,-31.05602,21/12/2020 20:10:19
117,44.94077,1.413277,-22.60649,21/12/2020 20:10:24
118,53.34348,2.131922,-1.964265,21/12/2020 20:10:29
